geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
36051,-21.74226,-43.34968,juiz de fora,MG
69085,-3.06256,-59.95219,manaus,AM
4822,-23.73447,-46.69,sao paulo,SP
3343,-23.55696,-46.57584,sao paulo,SP
72020,-15.84724,-48.0442,brasilia,DF
78300,-14.61545,-57.49347,tangará da serra,MT
88063,-27.6031,-48.47875,florianopolis,SC
4124,-23.59615,-46.61883,são paulo,SP
13880,-21.8464,-46.90378,vargem grande do sul,SP
39864,-17.70444,-40.76358,carlos chagas,MG
5586,-23.56948,-46.72977,são paulo,SP
21070,-22.842,-43.28722,rio de janeiro,RJ
38740,-18.94496,-46.99124,patrocinio,MG
79400,-18.50958,-54.74103,coxim,MS
35195,-19.24853,-42.45444,belo oriente,MG
58040,-7.12666,-34.86311,joao pessoa,PB
5386,-23.56792,-46.75897,sao paulo,SP
32341,-19.92977,-44.0457,contagem,MG
23520,-22.93644,-43.68384,rio de janeiro,RJ
64190,-4.0282,-42.0798,batalha,PI
78638,-13.98993,-51.79386,nova nazaré,MT
77001,-10.17898,-48.33703,palmas,TO
23063,-22.90707,-43.5969,rio de janeiro,RJ
74370,-16.73306,-49.34085,goiania,GO
9550,-23.62228,-46.54918,sao caetano do sul,SP
88058,-27.42664,-48.40037,florianópolis,SC
78600,-15.88356,-52.23837,barra do garcas,MT
35900,-19.62994,-43.22464,itabira,MG
89211,-26.32608,-48.85348,joinville,SC
9912,-23.68657,-46.61486,diadema,SP
4508,-23.5883,-46.67014,sao paulo,SP
40050,-12.98323,-38.51063,salvador,BA
32656,-19.98623,-44.185,betim,MG
80730,-25.4351,-49.29602,curitiba,PR
91787,-30.15582,-51.18248,porto alegre,RS
72804,-16.25852,-47.92,luziania,GO
5723,-23.64275,-46.73319,sao paulo,SP
28943,-22.84554,-42.05988,sao pedro da aldeia,RJ
5365,-23.56984,-46.7522,sao paulo,SP
35700,-19.47531,-44.25643,sete lagoas,MG
89990,-26.36231,-52.8526,sao lourenco do oeste,SC
21875,-22.87208,-43.45393,rio de janeiro,RJ
74255,-16.71263,-49.29152,goiania,GO
8280,-23.5569,-46.46853,sao paulo,SP
12951,-23.12067,-46.58229,atibaia,SP
42738,-12.8993,-38.33924,lauro de freitas,BA
30775,-19.89415,-43.96711,belo horizonte,MG
93800,-29.63823,-51.00249,sapiranga,RS
4476,-23.70487,-46.62843,sao paulo,SP
37968,-21.18686,-46.97933,monte santo de minas,MG
58064,-7.20609,-34.84673,joao pessoa,PB
28909,-22.89175,-42.04346,cabo frio,RJ
66120,-1.418,-48.48245,belem,PA
11025,-23.96995,-46.30485,santos,SP
4176,-23.63784,-46.60263,sao paulo,SP
35790,-18.74827,-44.4157,curvelo,MG
57540,-9.11628,-37.72575,mata grande,AL
13277,-22.98653,-47.00602,valinhos,SP
91430,-30.00708,-51.11391,porto alegre,RS
28735,-22.1057,-41.47315,quissama,RJ
13807,-22.40253,-46.9498,mogi mirim,SP
97573,-30.89384,-55.53012,santana do livramento,RS
17120,-22.46605,-48.99129,agudos,SP
20270,-22.91853,-43.21713,rio de janeiro,RJ
79009,-20.4508,-54.6301,campo grande,MS
35500,-20.12085,-44.87748,divinopolis,MG
57052,-9.62016,-35.73555,maceio,AL
1007,-23.54918,-46.63864,sao paulo,SP
23090,-22.88348,-43.56237,rio de janeiro,RJ
70765,-15.75244,-47.89332,brasilia,DF
38304,-18.98867,-49.44532,ituiutaba,MG
28020,-21.77758,-41.30197,campos dos goytacazes,RJ
1022,-23.5445,-46.63146,sao paulo,SP
35900,-19.62171,-43.20433,itabira,MG
73813,-15.54813,-47.32779,formosa,GO
19020,-22.11459,-51.39288,presidente prudente,SP
18680,-22.59872,-48.79901,lencois paulista,SP
48455,-10.33436,-38.42049,novo triunfo,BA
60822,-3.80525,-38.48762,fortaleza,CE
13100,-22.92129,-47.04513,campinas,SP
59075,-5.82019,-35.20784,natal,RN
99052,-28.23342,-52.37632,passo fundo,RS
36180,-21.26818,-43.17706,rio pomba,MG
78600,-15.89386,-52.26754,barra do garcas,MT
4534,-23.58347,-46.67375,sao paulo,SP
36400,-20.66615,-43.7959,conselheiro lafaiete,MG
6070,-23.55103,-46.7843,osasco,SP
32667,-19.95958,-44.14078,betim,MG
78550,-11.84947,-55.49948,sinop,MT
16902,-20.90252,-51.35767,andradina,SP
80020,-25.4315,-49.27171,curitiba,PR
87025,-23.37711,-51.93183,maringa,PR
28890,-22.50852,-41.9314,rio das ostras,RJ
85575,-25.71166,-52.91957,sao jorge d'oeste,PR
81830,-25.52665,-49.26402,curitiba,PR
90090,-29.99961,-51.22352,porto alegre,RS
30590,-19.96258,-43.9918,belo horizonte,MG
7230,-23.45344,-46.45992,guarulhos,SP
6723,-23.6952,-47.03249,cotia,SP
25620,-22.50733,-43.17018,petrópolis,RJ
17960,-21.30225,-51.57169,monte castelo,SP
62540,-3.37302,-39.83283,amontada,CE
35370,-20.22747,-42.65148,rio casca,MG
18540,-23.1942,-47.52956,porto feliz,SP
39401,-16.72918,-43.87764,montes claros,MG
3979,-23.61949,-46.51224,sao paulo,SP
5734,-23.62741,-46.74592,sao paulo,SP
55535,-8.62261,-35.52944,joaquim nabuco,PE
78310,-13.66574,-59.78845,comodoro,MT
48370,-11.79582,-37.95687,esplanada,BA
84620,-26.01758,-51.3517,cruz machado,PR
35277,-18.68797,-41.19745,sao joao do manteninha,MG
86790,-23.00901,-51.94842,lobato,PR
12239,-23.26528,-45.90319,sao jose dos campos,SP
3314,-23.54058,-46.56604,sao paulo,SP
5209,-23.41459,-46.75113,sao paulo,SP
29135,-20.34218,-40.41966,viana,ES
34800,-19.90065,-43.66906,caete,MG
33823,-19.76114,-44.14482,ribeirão das neves,MG
27973,-22.35951,-41.77113,macae,RJ
89110,-26.92798,-48.95184,gaspar,SC
21670,-22.89051,-43.56182,rio de janeiro,RJ
8041,-23.52163,-46.4427,sao paulo,SP
39600,-16.85021,-42.05844,araçuaí,MG
98950,-27.67344,-54.77749,alecrim,RS
20970,-22.89461,-43.25858,rio de janeiro,RJ
34800,-19.8816,-43.65947,caete,MG
6407,-23.501,-46.88892,barueri,SP
88845,-28.60318,-49.31967,cocal do sul,SC
7244,-23.44728,-46.41275,guarulhos,SP
36700,-21.51667,-42.6344,leopoldina,MG
58085,-7.14281,-34.88743,joao pessoa,PB
79117,-20.43033,-54.62755,campo grande,MS
13607,-22.37206,-47.34822,araras,SP
95985,-28.67558,-52.16659,nova alvorada,RS
9530,-23.62002,-46.57281,sao caetano do sul,SP
26285,-22.75259,-43.46248,nova iguacu,RJ
3542,-23.5319,-46.51655,sao paulo,SP
25070,-22.78404,-43.30447,duque de caxias,RJ
88337,-27.00687,-48.63164,balneario camboriu,SC
6704,-23.58139,-46.89413,cotia,SP
90570,-30.01975,-51.20214,porto alegre,RS
79580,-19.73008,-51.92945,inocencia,MS
16670,-22.10076,-49.43608,presidente alves,SP
36240,-21.45569,-43.53821,santos dumont,MG
83090,-25.60169,-49.16811,sao jose dos pinhais,PR
87160,-23.3361,-52.10941,mandaguaçu,PR
37225,-21.4634,-45.22304,carmo da cachoeira,MG
26600,-22.60849,-43.70957,paracambi,RJ
2929,-23.49347,-46.70465,sao paulo,SP
14150,-21.20775,-47.60842,serrana,SP
57200,-10.27949,-36.56236,penedo,AL
29900,-19.39033,-40.06768,linhares,ES
37800,-21.3094,-46.71214,guaxupe,MG
41100,-12.97446,-38.46349,salvador,BA
83702,-25.59726,-49.41104,araucária,PR
31515,-19.82584,-43.9617,belo horizonte,MG
89540,-26.95795,-50.42438,santa cecilia,SC
55800,-7.75005,-35.23653,nazaré da mata,PE
37460,-22.39017,-44.96378,passa quatro,MG
14808,-21.83118,-48.14812,araraquara,SP
36406,-20.66668,-43.80589,conselheiro lafaiete,MG
85601,-26.0757,-53.06612,francisco beltrao,PR
81720,-25.50975,-49.26271,curitiba,PR
95590,-29.99151,-50.14389,tramandai,RS
28890,-22.55508,-41.9793,rio das ostras,RJ
36052,-21.75015,-43.34446,juiz de fora,MG
20950,-22.90486,-43.2654,rio de janeiro,RJ
38070,-19.73081,-47.92566,uberaba,MG
71050,-15.83888,-47.97367,brasilia,DF
36400,-20.66827,-43.80029,conselheiro lafaiete,MG
23026,-22.81404,-43.37736,rio de janeiro,RJ
39550,-15.81112,-42.21865,taiobeiras,MG
37795,-22.0723,-46.56533,andradas,MG
22631,-23.00046,-43.34996,rio de janeiro,RJ
84052,-25.09982,-50.19115,ponta grossa,PR
25953,-22.4108,-42.96732,teresopolis,RJ
33400,-19.6515,-43.90673,lagoa santa,MG
54340,-8.20169,-34.95649,jaboatão dos guararapes,PE
41510,-12.91386,-38.35799,salvador,BA
4195,-23.65622,-46.61355,são paulo,SP
62010,-3.68484,-40.3509,sobral,CE
68020,-2.44448,-54.71537,santarem,PA
86010,-23.31095,-51.15563,londrina,PR
32900,-20.07332,-44.30537,igarapé,MG
11750,-24.29986,-47.00365,peruibe,SP
22770,-22.93249,-43.36287,rio de janeiro,RJ
58665,-6.94134,-36.62848,tenorio,PB
27330,-22.55358,-44.15682,barra mansa,RJ
87083,-23.38983,-51.95484,maringa,PR
12233,-23.23698,-45.89176,sao jose dos campos,SP
45848,-16.57575,-39.55845,itabela,BA
9780,-23.71181,-46.53592,sao bernardo do campo,SP
1453,-23.58067,-46.68355,são paulo,SP
90440,-30.03097,-51.19591,porto alegre,RS
4011,-23.58117,-46.64766,sao paulo,SP
24355,-22.96646,-43.0378,niteroi,RJ
35012,-18.85965,-41.95575,governador valadares,MG
2977,-23.47019,-46.7128,sao paulo,SP
92420,-29.88141,-51.17824,canoas,RS
3441,-23.54552,-46.53535,são paulo,SP
18490,-23.62806,-49.56336,barao de antonina,SP
1422,-23.56315,-46.66205,sao paulo,SP
68374,-3.209,-52.22279,altamira,PA
7600,-23.32876,-46.60007,mairipora,SP
5752,-23.61547,-46.75499,sao paulo,SP
9751,-23.68501,-46.54396,sao bernardo do campo,SP
40430,-12.93098,-38.50034,salvador,BA
38408,-18.91186,-48.24728,uberlandia,MG
28893,-22.52465,-41.9662,rio das ostras,RJ
92110,-29.93525,-51.16275,canoas,RS
57042,-9.54103,-35.79059,maceió,AL
64000,-5.07919,-42.80518,teresina,PI
8371,-23.59879,-46.4478,sao paulo,SP
58940,-7.12102,-38.4994,sao jose de piranhas,PB
85303,-25.38448,-52.40796,laranjeiras do sul,PR
24220,-22.9024,-43.1126,niteroi,RJ
9134,-23.71542,-46.48306,santo andre,SP
40731,-12.90556,-38.43663,salvador,BA
85660,-25.74278,-53.05401,dois vizinhos,PR
6835,-23.67942,-46.85099,embu das artes,SP
3126,-23.57748,-46.59319,são paulo,SP
25680,-22.50672,-43.18872,petropolis,RJ
37504,-22.44567,-45.48712,itajuba,MG
86604,-23.32281,-51.39068,rolandia,PR
13874,-21.97581,-46.78185,sao joao da boa vista,SP
93230,-29.84058,-51.12977,sapucaia do sul,RS
9431,-23.69062,-46.38412,ribeirão pires,SP
38405,-18.88799,-48.24799,uberlandia,MG
27915,-22.38316,-41.7754,macae,RJ
86800,-23.54486,-51.46112,apucarana,PR
8370,-23.59577,-46.45708,sao paulo,SP
9220,-23.6282,-46.53518,santo andre,SP
96255,-33.69205,-53.4651,chui,RS
57800,-9.15458,-36.02694,uniao dos palmares,AL
29303,-20.85234,-41.11517,cachoeiro de itapemirim,ES
65700,-4.22455,-44.7817,bacabal,MA
7902,-23.29106,-46.74078,francisco morato,SP
7133,-23.43694,-46.51368,guarulhos,SP
13505,-22.37998,-47.57344,rio claro,SP
8573,-23.48853,-46.34903,itaquaquecetuba,SP
36540,-20.89923,-43.08977,senador firmino,MG
13502,-22.44691,-47.58242,rio claro,SP
22231,-22.93436,-43.1806,rio de janeiro,RJ
39385,-18.57303,-46.50153,vista alegre,MG
18213,-23.57393,-48.03217,itapetininga,SP
79230,-21.46435,-56.10786,guia lopes da laguna,MS
11040,-23.97191,-46.31964,santos,SP
13360,-22.99738,-47.50427,capivari,SP
95995,-28.87701,-52.17612,arvorezinha,RS
29047,-20.29881,-40.30839,vitoria,ES
37550,-22.23028,-45.93831,pouso alegre,MG
2910,-23.50473,-46.69521,sao paulo,SP
35420,-20.35987,-43.42057,mariana,MG
28911,-22.88153,-42.0424,cabo frio,RJ
30664,-20.00544,-44.0382,belo horizonte,MG
29152,-20.32281,-40.36806,cariacica,ES
65800,-7.49889,-46.03744,balsas,MA
78200,-16.07814,-57.68884,caceres,MT
75388,-16.65782,-49.48902,trindade,GO
23040,-22.92229,-43.55105,rio de janeiro,RJ
26600,-22.60527,-43.7048,paracambi,RJ
79806,-22.22712,-54.79926,dourados,MS
28925,-22.85852,-41.98973,cabo frio,RJ
35368,-20.47265,-42.48595,sericita,MG
58302,-7.15022,-34.96795,santa rita,PB
33600,-19.65229,-44.05677,pedro leopoldo,MG
4330,-23.65199,-46.64741,sao paulo,SP
22030,-22.9669,-43.18562,rio de janeiro,RJ
14900,-21.59987,-48.82306,itapolis,SP
38300,-18.9697,-49.46376,ituiutaba,MG
88303,-26.917,-48.68108,itajai,SC
13400,-22.72316,-47.64965,piracicaba,SP
13660,-21.8598,-47.47356,porto ferreira,SP
89930,-26.45916,-53.5041,sao jose do cedro,SC
5712,-23.6215,-46.73125,sao paulo,SP
6871,-23.72215,-46.85692,itapecerica da serra,SP
33200,-19.75733,-43.93377,vespasiano,MG
22743,-22.92624,-43.34998,rio de janeiro,RJ
13253,-23.00984,-46.82417,itatiba,SP
88010,-27.59373,-48.55488,florianopolis,SC
17025,-22.30605,-49.0504,bauru,SP
35607,-19.41963,-45.15229,ibitira,MG
26285,-22.74732,-43.45542,nova iguaçu,RJ
32672,-19.94225,-44.17754,betim,MG
35500,-20.13618,-44.89264,divinopolis,MG
7161,-23.39359,-46.44154,guarulhos,SP
30642,-19.98131,-44.01464,belo horizonte,MG
44003,-12.26484,-38.95972,feira de santana,BA
35020,-18.86919,-41.94688,governador valadares,MG
30170,-19.93275,-43.95243,belo horizonte,MG
40355,-12.94076,-38.48336,salvador,BA
32050,-19.82155,-44.14504,contagem,MG
87306,-24.04982,-52.41182,campo mourao,PR
30627,-19.99616,-44.02205,belo horizonte,MG
4634,-23.63918,-46.6658,são paulo,SP
98550,-27.65952,-53.64607,redentora,RS
78088,-15.62682,-56.00923,cuiaba,MT
22231,-22.93476,-43.1802,rio de janeiro,RJ
75905,-17.79568,-50.91973,rio verde,GO
68900,0.04585,-51.05115,macapa,AP
5515,-23.58146,-46.71445,sao paulo,SP
38689,-15.29808,-45.62492,chapada gaucha,MG
11680,-23.45792,-45.07847,ubatuba,SP
28910,-22.8881,-42.04066,cabo frio,RJ
41205,-12.94379,-38.446,salvador,BA
7133,-23.43805,-46.51178,guarulhos,SP
38706,-18.62216,-46.5132,patos de minas,MG
15440,-20.53252,-49.32255,nova granada,SP
68010,-2.44194,-54.69922,santarem,PA
22410,-22.98472,-43.19643,rio de janeiro,RJ
14096,-21.20644,-47.77385,ribeirao preto,SP
6327,-23.52525,-46.82212,carapicuiba,SP
21775,-22.88411,-43.44782,rio de janeiro,RJ
68633,-4.29126,-47.5553,dom eliseu,PA
37130,-21.42823,-45.94963,alfenas,MG
36546,-20.98776,-43.01519,divinésia,MG
4548,-23.60289,-46.67524,sao paulo,SP
39510,-14.92131,-42.8152,espinosa,MG
66623,-1.39872,-48.4353,belem,PA
46310,-14.84983,-42.43369,jacaraci,BA
35970,-19.93912,-43.48744,barao de cocais,MG
8032,-23.52048,-46.42587,sao paulo,SP
72225,-15.81732,-48.11249,brasilia,DF
21041,-22.86469,-43.25288,rio de janeiro,RJ
39803,-17.87725,-41.50485,teofilo otoni,MG
41750,-12.99049,-38.44051,salvador,BA
79040,-20.4629,-54.57955,campo grande,MS
5267,-23.43942,-46.79211,sao paulo,SP
36512,-21.17478,-43.01955,tocantins,MG
83409,-25.37374,-49.18418,colombo,PR
50731,-8.04309,-34.92856,recife,PE
1501,-23.55302,-46.63535,sao paulo,SP
28610,-22.28133,-42.53124,nova friburgo,RJ
12701,-22.59079,-44.96781,cruzeiro,SP
12630,-22.69713,-45.03006,cachoeira paulista,SP
8062,-23.50706,-46.47381,sao paulo,SP
24120,-22.881,-43.0988,niterói,RJ
17500,-22.21144,-49.95181,marilia,SP
84400,-25.22524,-50.9821,prudentopolis,PR
86112,-23.52858,-51.08334,paiquere,PR
58045,-7.12294,-34.82781,joão pessoa,PB
28470,-21.54357,-42.18483,santo antonio de padua,RJ
35182,-19.58311,-42.64223,timoteo,MG
29345,-21.05088,-40.83335,marataizes,ES
55375,-8.74262,-36.33613,calcado,PE
72255,-15.78781,-48.13181,brasília,DF
17066,-22.30729,-49.11151,bauru,SP
25550,-22.77249,-43.38771,são joão de meriti,RJ
5529,-23.59306,-46.75412,sao paulo,SP
52070,-8.02309,-34.92417,recife,PE
37508,-22.37014,-45.55871,piranguinho,MG
88061,-27.57532,-48.42317,florianopolis,SC
9450,-23.74424,-46.39195,rio grande da serra,SP
88904,-28.95224,-49.50166,ararangua,SC
12212,-23.15242,-45.90197,são josé dos campos,SP
15775,-20.211,-50.91207,santa fe do sul,SP
66060,-1.42647,-48.44431,belem,PA
13920,-22.71619,-46.88604,pedreira,SP
81020,-25.48208,-49.29087,curitiba,PR
63540,-6.78983,-39.29578,varzea alegre,CE
13473,-22.72925,-47.3079,americana,SP
35582,-20.36817,-45.66203,pains,MG
2471,-23.481,-46.654,sao paulo,SP
2990,-23.43133,-46.72509,sao paulo,SP
13474,-22.70954,-47.28601,americana,SP
13420,-22.73518,-47.61698,piracicaba,SP
17980,-21.3589,-51.85472,panorama,SP
38415,-18.90276,-48.32196,uberlandia,MG
94440,-30.09306,-51.06012,viamao,RS
89010,-26.91724,-49.0678,blumenau,SC
88190,-27.33494,-48.54351,governador celso ramos,SC
37596,-22.20133,-46.61602,albertina,MG
5106,-23.51127,-46.73817,sao paulo,SP
46450,-14.57439,-42.94222,sebastiao laranjeiras,BA
1539,-23.57158,-46.6199,sao paulo,SP
3412,-23.55795,-46.54998,sao paulo,SP
6857,-23.70237,-46.79637,itapecerica da serra,SP
9371,-23.66965,-46.48318,maua,SP
89283,-26.24324,-49.36176,sao bento do sul,SC
36016,-21.77451,-43.36008,juiz de fora,MG
21830,-22.87712,-43.48049,rio de janeiro,RJ
40290,-12.98915,-38.49616,salvador,BA
88802,-28.68246,-49.36374,criciuma,SC
7051,-23.46637,-46.54893,guarulhos,SP
77760,-8.05365,-48.47681,colinas do tocantins,TO
88385,-26.82345,-48.61217,penha,SC
27323,-22.53784,-44.17192,barra mansa,RJ
95059,-29.10169,-51.12394,caxias do sul,RS
4012,-23.58427,-46.65,sao paulo,SP
6774,-23.64383,-46.79948,taboao da serra,SP
31160,-19.8726,-43.93163,belo horizonte,MG
18775,-22.87509,-49.15928,iaras,SP
83203,-25.51296,-48.50092,paranagua,PR
60752,-3.81864,-38.57281,fortaleza,CE
78650,-10.47768,-50.51104,santa terezinha,MT
11925,-24.73897,-47.5447,ilha comprida,SP
41820,-12.98659,-38.45867,salvador,BA
83324,-25.43037,-49.19126,pinhais,PR
11015,-23.94581,-46.32134,santos,SP
25233,-22.69585,-43.29165,duque de caxias,RJ
8555,-23.5086,-46.35121,poa,SP
18051,-23.5229,-47.5042,sorocaba,SP
89050,-26.91574,-49.06204,blumenau,SC
33400,-19.62541,-43.89752,lagoa santa,MG
29148,-20.34002,-40.4153,cariacica,ES
96505,-30.01874,-52.90682,cachoeira do sul,RS
48060,-12.14813,-38.45233,alagoinhas,BA
16200,-21.3017,-50.3549,birigui,SP
14010,-21.17754,-47.80957,ribeirao preto,SP
6180,-23.54109,-46.80263,osasco,SP
89032,-26.9034,-49.14918,blumenau,SC
19500,-22.14044,-51.15725,martinopolis,SP
74343,-16.73524,-49.3076,goiania,GO
3590,-23.54314,-46.48075,sao paulo,SP
24751,-22.87718,-42.99359,sao goncalo,RJ
93110,-29.75681,-51.14799,sao leopoldo,RS
31030,-19.89384,-43.93037,belo horizonte,MG
13860,-22.056,-46.97699,aguai,SP
84350,-24.2139,-50.93183,ortigueira,PR
77760,-8.05012,-48.51028,colinas do tocantins,TO
90230,-30.00623,-51.19476,porto alegre,RS
91330,-30.03862,-51.16461,porto alegre,RS
28660,-22.15855,-42.4128,bom jardim,RJ
37550,-22.24803,-45.93561,pouso alegre,MG
1225,-23.53936,-46.65072,sao paulo,SP
14810,-21.7753,-48.1594,araraquara,SP
4022,-23.59417,-46.64791,sao paulo,SP
73060,-15.63879,-47.82199,brasilia,DF
8717,-23.53912,-46.19078,mogi das cruzes,SP
83601,-25.46396,-49.52774,campo largo,PR
32013,-19.93101,-44.08771,contagem,MG
8717,-23.54061,-46.18954,mogi das cruzes,SP
24732,-22.82504,-42.97656,sao goncalo,RJ
2125,-23.51114,-46.58541,são paulo,SP
87550,-23.86706,-53.89318,altonia,PR
78085,-15.64748,-56.05227,cuiabá,MT
14815,-21.95637,-47.99703,ibate,SP
3554,-23.53741,-46.50232,sao paulo,SP
13330,-23.08882,-47.21943,indaiatuba,SP
85585,-25.87673,-52.90957,vere,PR
13800,-22.44286,-46.98246,mogi mirim,SP
35164,-19.45152,-42.55422,ipatinga,MG
31210,-19.9105,-43.94412,belo horizonte,MG
15170,-20.61027,-49.64366,tanabi,SP
35670,-19.98663,-44.41754,mateus leme,MG
88165,-27.47135,-48.66254,biguacu,SC
75124,-16.36615,-48.96366,anapolis,GO
11310,-23.967,-46.38853,são vicente,SP
79010,-20.44062,-54.62046,campo grande,MS
35160,-19.50771,-42.56047,ipatinga,MG
71020,-15.81291,-47.97291,brasilia,DF
13332,-23.05517,-47.20857,indaiatuba,SP
83512,-25.3194,-49.30494,almirante tamandare,PR
39625,-16.55936,-41.50771,itaobim,MG
95945,-29.17142,-52.20911,pouso novo,RS
23870,-22.91972,-43.94034,vila muriqui,RJ
1403,-23.56917,-46.65293,são paulo,SP
30662,-19.98483,-44.04738,belo horizonte,MG
28635,-22.24231,-42.52284,nova friburgo,RJ
6539,-23.46136,-46.88759,santana de parnaiba,SP
79750,-22.24633,-53.34678,nova andradina,MS
74375,-16.69995,-49.32503,goiania,GO
5844,-23.65446,-46.73693,sao paulo,SP
30530,-19.92559,-44.00388,belo horizonte,MG
81010,-25.4748,-49.27286,curitiba,PR
38525,-18.74305,-47.6886,estrela do sul,MG
26013,-22.74127,-43.44383,nova iguacu,RJ
91760,-30.13526,-51.2297,porto alegre,RS
79112,-20.43203,-54.66056,campo grande,MS
5690,-23.61574,-46.70504,sao paulo,SP
18530,-23.11035,-47.71458,tietê,SP
72115,-15.82821,-48.05936,brasilia,DF
7151,-23.40657,-46.44989,guarulhos,SP
1233,-23.53509,-46.66154,são paulo,SP
17054,-22.35283,-49.09459,bauru,SP
13140,-22.76193,-47.15071,paulinia,SP
4113,-23.58284,-46.62446,são paulo,SP
11665,-23.63829,-45.42187,caraguatatuba,SP
21250,-22.82059,-43.30524,rio de janeiro,RJ
39510,-14.92497,-42.81609,espinosa,MG
30421,-19.92872,-43.97396,belo horizonte,MG
20972,-22.95782,-43.20472,rio de janeiro,RJ
49090,-10.8921,-37.09949,aracaju,SE
13344,-23.09823,-47.21318,indaiatuba,SP
76350,-15.16753,-49.80403,rubiataba,GO
39650,-17.21839,-42.58451,minas novas,MG
3563,-23.54643,-46.48822,são paulo,SP
13610,-22.18801,-47.38891,leme,SP
20250,-22.91678,-43.20593,rio de janeiro,RJ
59110,-5.75972,-35.24891,natal,RN
85862,-25.4892,-54.53134,foz do iguacu,PR
25015,-22.79168,-43.31646,duque de caxias,RJ
54705,-8.00768,-35.01687,sao lourenco da mata,PE
9440,-23.68574,-46.36467,ribeirao pires,SP
5126,-23.50138,-46.73956,são paulo,SP
17055,-22.34004,-49.10385,bauru,SP
25070,-22.77421,-43.29952,duque de caxias,RJ
98803,-28.29887,-54.26425,santo angelo,RS
79045,-20.46483,-54.52934,campo grande,MS
68628,-2.98483,-47.35442,paragominas,PA
55200,-8.35522,-36.69728,pesqueira,PE
41250,-12.93338,-38.42489,salvador,BA
95913,-29.44358,-51.94644,lajeado,RS
82630,-25.37624,-49.22096,curitiba,PR
5412,-23.54952,-46.68539,sao paulo,SP
5429,-23.56459,-46.69918,sao paulo,SP
18606,-22.89796,-48.45068,botucatu,SP
79112,-20.44345,-54.65998,campo grande,MS
98300,-27.89646,-53.31901,palmeira das missoes,RS
32050,-19.82659,-44.14706,contagem,MG
32341,-19.93044,-44.04453,contagem,MG
19880,-22.75201,-50.38183,candido mota,SP
9831,-23.78374,-46.53822,sao bernardo do campo,SP
